[VRAM-MON] VRAM alloc=0.92 reserved=1.67 peak=1.67/15.93GB, smi_used=3.94GB
[VRAM-MON] VRAM alloc=0.46 reserved=0.85 peak=0.85/15.93GB, smi_used=3.10GB
[VRAM-MON] VRAM alloc=0.46 reserved=0.85 peak=0.85/15.93GB, smi_used=3.10GB
[VRAM-MON] VRAM alloc=0.46 reserved=0.85 peak=0.85/15.93GB, smi_used=3.10GB
[VRAM-MON] VRAM alloc=0.46 reserved=0.85 peak=0.85/15.93GB, smi_used=3.10GB
[VRAM-MON] VRAM alloc=0.45 reserved=0.85 peak=0.85/15.93GB, smi_used=3.12GB
[VRAM-MON] VRAM alloc=1.14 reserved=1.79 peak=1.79/15.93GB, smi_used=4.06GB
[VRAM-MON] VRAM alloc=1.10 reserved=1.79 peak=1.79/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=1.48 reserved=1.79 peak=1.79/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=1.50 reserved=1.79 peak=1.79/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=0.92 reserved=1.79 peak=1.79/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=1.61 reserved=1.79 peak=1.79/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=1.48 reserved=1.79 peak=1.79/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=0.92 reserved=1.79 peak=1.79/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=0.93 reserved=1.79 peak=1.79/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=1.35 reserved=1.79 peak=1.79/15.93GB, smi_used=4.07GB
[VRAM-MON] VRAM alloc=1.04 reserved=1.98 peak=1.98/15.93GB, smi_used=4.26GB
[VRAM-MON] VRAM alloc=1.02 reserved=1.79 peak=1.98/15.93GB, smi_used=4.06GB
[VRAM-MON] VRAM alloc=1.27 reserved=1.79 peak=1.98/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=1.70 reserved=1.79 peak=1.98/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=1.56 reserved=1.79 peak=1.98/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=1.55 reserved=1.79 peak=1.98/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=1.56 reserved=1.79 peak=1.98/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=0.93 reserved=1.79 peak=1.98/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=1.70 reserved=1.79 peak=1.98/15.93GB, smi_used=4.07GB
[VRAM-MON] VRAM alloc=1.15 reserved=1.79 peak=1.98/15.93GB, smi_used=4.06GB
[VRAM-MON] VRAM alloc=1.28 reserved=1.79 peak=1.98/15.93GB, smi_used=4.04GB
[VRAM-MON] VRAM alloc=1.75 reserved=1.79 peak=1.98/15.93GB, smi_used=4.05GB
[VRAM-MON] VRAM alloc=0.46 reserved=0.95 peak=1.98/15.93GB, smi_used=3.22GB
